Rk,Player,Tm,Age,Pos,G,GS,Int,Yds,TD,Lng,PD,FF,Fmb,FR,Yds,TD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty
1,Zach Cunningham\CunnZa00,HOU,26,LILB,16,16,0,0,0,0,2,1,0,0,0,0,3.0,164,106,58,7,4,
2,Roquan Smith\SmitRo07,CHI,23,LILB,16,16,2,16,0,11,7,1,1,1,0,0,4.0,139,98,41,18,6,
3,Devin White\WhitDe02,TAM,22,LILB,15,15,0,0,0,0,4,1,0,1,2,0,9.0,140,97,43,15,16,
4,Neville Hewitt\HewiNe00,NYJ,27,RILB,16,16,0,0,0,0,4,1,0,1,17,0,2.0,134,91,43,6,4,
5,Jordan Poyer\PoyeJo00,BUF,29,SS,16,16,2,14,0,14,5,2,0,0,0,0,2.0,124,91,33,4,4,
6,Budda Baker *+\BakeBu00,ARI,24,SS,15,15,2,90,0,90,6,1,0,0,0,0,2.0,118,90,28,7,3,
7,Jaylon Smith\SmitJa05,DAL,25,RLB,16,16,1,43,0,43,5,0,0,2,21,0,1.5,154,89,65,5,4,
8,Malcolm Butler\ButlMa01,TEN,30,RCB,16,16,4,111,0,68,14,,,,,,0.0,100,86,14,1,0,
9,Darius Leonard*+\LeonDa00,IND,25,LLB,14,14,0,0,0,0,7,3,1,2,3,0,3.0,132,86,46,7,3,
10,Blake Martinez\MartBl01,NYG,26,LILB,16,16,1,2,0,2,5,2,0,1,0,0,3.0,151,86,65,9,6,
11,Joe Schobert\SchoJo00,JAX,27,MLB,16,16,3,45,1,43,4,2,0,0,0,0,2.5,141,84,57,6,6,
12,Lavonte David\DaviLa00,TAM,30,RILB,16,16,1,-5,0,-5,6,3,0,2,0,0,1.5,117,82,35,12,3,
13,Bobby Wagner*+\WagnBo00,SEA,30,RILB,16,16,0,0,0,0,8,0,0,1,0,0,3.0,138,81,57,7,11,
14,Kevin Byard\ByarKe01,TEN,27,FS,16,16,1,0,0,0,7,1,0,0,0,0,0.0,111,79,32,1,1,
15,Fred Warner*+\WarnFr00,SFO,24,MLB,16,16,2,3,0,3,6,1,0,2,0,0,1.0,125,79,46,5,7,
16,Jessie Bates III\BateJe00,CIN,23,FS,16,16,3,12,0,12,15,1,0,0,0,0,0.0,109,78,31,2,1,
17,Jordan Hicks\HickJo00,ARI,28,RILB,16,16,1,6,0,6,4,,,,,,0.0,118,78,40,11,1,
18,Foyesade Oluokun\OluoFo00,ATL,25,MLB,15,14,2,65,0,51,4,4,1,1,0,0,3.0,117,78,39,4,9,
19,Tremaine Edmunds*\EdmuTr01,BUF,22,MLB,15,15,0,0,0,0,3,,,,,,2.0,119,77,42,4,3,
20,Justin Simmons *\SimmJu00,DEN,27,FS,16,16,5,90,0,46,9,0,0,1,18,0,0.0,96,77,19,3,0,
21,Tyrell Adams\AdamTy00,HOU,28,RILB,16,12,0,0,0,0,4,2,0,1,0,0,2.0,125,76,49,5,3,
22,Keanu Neal\NealKe01,ATL,25,FS,15,14,1,0,0,0,2,0,0,1,0,0,1.0,100,76,24,9,3,
23,Adrian Phillips\PhilAd00,NWE,28,SS,16,16,2,5,0,5,4,,,,,,1.0,109,76,33,7,1,
24,Alex Singleton\SingAl00,PHI,27,LLB,16,11,1,30,1,30,1,0,0,2,1,0,2.0,120,75,45,5,7,
25,Demario Davis\DaviDe00,NOR,31,MLB,16,16,0,0,0,0,5,,,,,,4.0,119,73,46,10,12,
26,John Johnson\JohnJo10,LAR,25,FS,16,16,1,0,0,0,8,,,,,,0.0,105,73,32,2,0,
27,Deion Jones\JoneDe01,ATL,26,LLB,16,16,2,84,1,67,6,1,0,1,0,0,4.5,106,73,33,9,10,
28,Avery Williamson\WillAv00,2TM,28,,15,10,1,21,0,21,3,,,,,,1.0,111,73,38,3,2,
29,Myles Jack\JackMy00,JAX,25,LLB,14,14,1,0,0,0,5,1,0,2,16,0,1.0,118,72,46,6,2,
30,Alexander Johnson\JohnAl01,DEN,29,LILB,16,16,0,0,0,0,2,2,0,0,0,0,1.0,124,72,52,4,5,
31,Jerome Baker\BakeJe00,MIA,24,RILB,16,11,0,0,0,0,3,2,0,0,0,0,7.0,112,70,42,7,11,
32,Marlon Humphrey *\HumpMa00,BAL,24,LCB,15,15,1,8,0,8,11,8,0,0,0,0,2.5,82,70,12,4,4,1
33,Taron Johnson\JohnTa01,BUF,24,RLB,16,11,1,51,1,51,7,1,0,0,0,0,1.0,94,70,24,5,3,
34,De'Vondre Campbell\CampDe00,ARI,27,LILB,16,16,0,0,0,0,3,1,0,0,0,0,2.0,99,69,30,7,2,
35,Malcolm Jenkins\JenkMa99,NOR,33,SS,16,16,3,58,0,48,10,1,0,1,0,0,2.5,91,69,22,7,6,
36,Eric Kendricks\KendEr00,MIN,28,MLB,11,11,3,0,0,0,6,,,,,,0.0,107,69,38,4,1,
37,Jeremy Chinn\ChinJe00,CAR,22,RLB,15,15,1,0,0,0,5,2,0,2,45,2,1.0,117,68,49,2,5,
38,Kenny Moore\MoorKe03,IND,25,LCB,16,14,4,45,1,29,13,1,0,0,0,0,2.0,80,68,12,4,3,
39,Kenneth Murray\MurrKe00,LAC,22,RLB,16,16,0,0,0,0,3,,,,,,1.0,107,68,39,5,1,
40,Logan Ryan\RyanLo00,NYG,29,FS,16,15,1,15,0,15,9,3,0,2,0,0,1.0,94,68,26,1,4,
41,Daniel Sorensen\SoreDa01,KAN,30,SS,15,11,3,67,1,50,5,2,0,0,0,0,0.0,91,68,23,2,4,
42,Vonn Bell\BellVo00,CIN,26,SS,16,16,0,0,0,0,5,3,0,2,65,0,0.0,114,67,47,3,4,
43,Kareem Jackson\JackKa99,DEN,32,SS,16,16,1,13,0,13,4,0,0,2,2,0,0.0,89,67,22,1,0,
44,Josey Jewell\JeweJo00,DEN,26,RILB,16,16,0,0,0,0,4,,,,,,2.0,113,67,46,5,5,
45,Danny Trevathan\TrevDa00,CHI,30,RILB,16,16,0,0,0,0,5,1,0,0,0,0,1.0,113,67,46,3,2,
46,Patrick Queen\QueePa00,BAL,21,LILB,16,16,1,0,0,0,2,2,0,2,53,1,3.0,106,66,40,9,10,
47,Eric Rowe\RoweEr00,MIA,28,FS,16,14,2,26,0,22,11,0,0,1,0,0,0.0,91,66,25,1,2,
48,Adrian Amos\AmosAd00,GNB,27,SS,16,16,2,47,0,24,9,0,0,1,0,0,2.0,83,65,18,4,3,
49,Anthony Walker\WalkAn01,IND,25,MLB,16,16,1,11,0,11,5,0,0,1,0,0,0.0,92,65,27,2,1,
50,Khari Willis\WillKh00,IND,24,SS,14,14,2,93,1,50,6,1,0,0,0,0,2.0,85,65,20,3,4,
51,Tre Herndon\HernTr00,JAX,24,LCB,16,12,0,0,0,0,5,,,,,,1.0,76,64,12,4,2,
52,Shaq Thompson\ThomSh01,CAR,26,LLB,16,15,0,0,0,0,5,2,0,1,0,0,0.0,114,64,50,6,2,
53,Tracy Walker\WalkTr01,DET,25,ss,15,7,0,0,0,0,4,,,,,,1.0,87,64,23,5,2,
54,Antoine Winfield Jr.\WinfAn00,TAM,22,SS,16,16,1,16,0,16,6,2,0,1,0,0,3.0,94,64,30,1,4,
55,Kamren Curl\CurlKa00,WAS,21,SS,16,11,3,88,1,76,4,,,,,,2.0,88,63,25,4,5,
56,Jeff Gladney\GladJe00,MIN,24,RCB,16,15,0,0,0,0,3,1,0,0,0,0,0.0,81,63,18,7,1,
57,Eddie Jackson\JackEd01,CHI,27,FS,16,16,0,0,0,0,5,3,0,1,8,1,0.0,82,63,19,1,0,
58,Nicholas Morrow\MorrNi00,LVR,25,LLB,14,11,1,6,0,6,9,1,0,1,0,0,3.0,78,62,16,8,6,
59,Justin Reid\ReidJu00,HOU,23,SS,13,13,0,0,0,0,4,,,,,,2.0,83,62,21,6,4,
60,Kenny Vaccaro\VaccKe00,TEN,29,SS,13,13,0,0,0,0,5,0,0,1,53,0,1.0,83,62,21,6,1,
61,Eric Wilson\WilsEr00,MIN,26,RLB,16,15,3,23,0,16,8,1,0,2,7,0,3.0,122,62,60,8,9,
62,Jonathan Bostic\BostJo00,WAS,29,MLB,16,15,1,0,0,0,3,,,,,,3.0,118,61,57,6,6,
63,Tre Boston\BostTr00,CAR,28,FS,16,16,1,0,0,0,4,1,0,2,0,0,1.0,95,61,34,3,2,
64,Dre Greenlaw\GreeDr00,SFO,23,RLB,13,11,0,0,0,0,1,,,,,,1.0,86,61,25,7,2,
65,Vernon Hargreaves III\HargVe00,HOU,25,RCB,16,16,1,0,0,0,7,,,,,,0.0,72,61,11,1,0,
66,AJ Terrell\TerrAJ00,ATL,22,LCB,14,14,1,0,0,0,7,3,0,0,0,0,0.0,74,61,13,3,1,
67,Johnathan Abram\AbraJo01,LVR,24,SS,13,13,2,29,0,24,6,0,0,1,0,0,0.0,86,60,26,3,4,
68,Minkah Fitzpatrick*+\FitzMi00,PIT,24,FS,16,16,4,77,1,37,11,1,0,1,-1,0,0.0,79,60,19,1,0,
69,Jonathan Jones\JoneJo03,NWE,27,db,16,7,2,0,0,0,6,1,0,0,0,0,0.0,74,60,14,0,1,
70,K.J. Wright\WrigK.00,SEA,31,ROLB,16,16,1,7,0,7,10,1,0,2,0,0,2.0,86,60,26,11,3,
71,Jamal Adams *\AdamJa00,SEA,25,SS,12,12,0,0,0,0,3,1,0,0,0,0,9.5,83,59,24,11,14,
72,Rashaan Evans\EvanRa01,TEN,25,LILB,16,16,0,0,0,0,5,0,0,1,25,0,0.5,96,59,37,1,4,
73,B.J. Goodson\GoodB.00,CLE,27,MLB,14,14,2,7,0,7,6,0,0,1,0,0,0.5,91,59,32,2,3,
74,Josh Jones\JoneJo06,JAX,26,SS,13,13,1,0,0,0,1,,,,,,0.0,83,59,24,0,0,
75,Jalen Mills\MillJa02,PHI,26,FS,15,15,1,5,0,5,3,1,0,0,0,0,1.5,74,59,15,4,5,
76,Nasir Adderley\AddeNa00,LAC,23,FS,15,14,1,39,0,39,3,0,0,1,1,0,0.0,69,58,11,0,1,
77,Anthony Harris\HarrAn01,MIN,29,FS,16,16,0,0,0,0,7,,,,,,0.0,104,58,46,2,0,
78,Rayshawn Jenkins\JenkRa00,LAC,26,SS,15,15,2,23,0,23,4,,,,,,1.0,84,58,26,4,1,
79,Chuck Clark\ClarCh00,BAL,25,SS,16,16,1,0,0,0,4,2,1,3,66,1,1.5,96,57,39,3,4,
80,Bobby Okereke\OkerBo00,IND,24,rlb,14,8,1,7,0,7,6,0,0,2,11,0,0.0,72,57,15,4,1,
81,Jabrill Peppers\PeppJa00,NYG,25,SS,15,14,1,6,0,6,11,1,0,1,0,0,2.5,91,57,34,8,3,
82,Lonnie Johnson Jr.\JohnLo01,HOU,25,db,16,5,,,,,,,,,,,0.0,76,56,20,1,3,
83,Cory Littleton\LittCo01,LVR,27,RLB,14,14,,,,,,,,,,,0.0,82,56,26,4,0,
84,Trayvon Mullen\MullTr00,LVR,23,LCB,16,16,2,0,0,0,14,,,,,,0.0,64,56,8,2,0,
85,Darnell Savage Jr.\SavaDa00,GNB,23,FS,15,15,4,13,0,9,12,0,0,1,0,0,1.0,75,56,19,3,2,
86,Jamie Collins\CollJa00,DET,31,RLB,14,14,1,1,0,1,6,3,0,1,0,0,1.0,101,55,46,6,3,
87,Troy Hill\HillTr01,LAR,29,LCB,16,16,3,119,2,84,10,1,0,2,20,1,0.0,77,55,22,1,0,
88,Michael Ojemudia\OjemMi00,DEN,23,LCB,16,11,0,0,0,0,6,4,0,0,0,0,0.0,62,55,7,1,0,
89,Germaine Pratt\PratGe00,CIN,24,MLB,16,15,0,0,0,0,2,,,,,,0.0,89,55,34,5,0,
90,Duron Harmon\HarmDu00,DET,29,FS,16,16,2,22,0,21,5,,,,,,0.0,73,54,19,0,1,
91,Terrance Mitchell\MitcTe00,CLE,28,RCB,16,16,0,0,0,0,13,3,0,0,0,0,0.0,65,54,11,2,0,
92,Harrison Smith\SmitHa00,MIN,31,SS,16,16,5,33,0,16,10,,,,,,0.5,89,54,35,2,5,
93,Josh Bynes\ByneJo00,CIN,31,LLB,16,16,0,0,0,0,2,0,0,1,0,0,1.0,99,53,46,5,2,
94,Shaquill Griffin\GrifSh00,SEA,25,LCB,12,12,3,20,0,16,12,,,,,,0.0,63,53,10,2,0,
95,Lamarcus Joyner\JoynLa00,LVR,30,llb,14,6,0,0,0,0,5,,,,,,0.0,66,53,13,6,0,
96,Dre Kirkpatrick\KirkDr00,ARI,31,RCB,14,11,3,13,0,13,7,,,,,,0.0,56,53,3,0,0,
97,A.J. Klein\KleiAJ00,BUF,29,LLB,16,11,0,0,0,0,4,2,0,1,0,0,5.0,75,53,22,5,9,
98,Nick Kwiatkoski\KwiaNi00,LVR,27,MLB,12,12,1,9,0,9,4,1,0,0,0,0,1.0,81,53,28,3,2,
99,Sean Murphy-Bunting\BuntSe00,TAM,23,RCB,16,13,1,0,0,0,3,1,0,1,3,0,0.0,70,53,17,3,1,
100,Troy Reeder\ReedTr01,LAR,26,lilb,16,7,0,0,0,0,2,,,,,,3.0,81,53,28,5,4,
101,Darius Slay\SlayDa00,PHI,29,RCB,15,14,1,25,0,25,6,,,,,,0.0,59,53,6,2,0,
102,Jordan Whitehead\WhitJo03,TAM,23,FS,16,16,2,2,0,2,4,1,0,1,0,0,2.0,74,53,21,9,3,
103,Carlton Davis\DaviCa02,TAM,24,LCB,14,14,4,42,0,34,18,,,,,,0.0,68,52,16,3,0,
104,Kyle Fuller\FullKy00,CHI,28,LCB,16,16,1,5,0,5,8,1,0,0,0,0,0.0,65,52,13,0,0,
105,Chauncey Gardner-Johnson\GardCh00,NOR,23,DB,15,13,1,3,0,3,13,,,,,,1.0,66,52,14,5,4,
106,Marshon Lattimore *\LattMa01,NOR,24,RCB,14,14,2,13,0,13,11,,,,,,0.0,62,52,10,2,0,
107,Marcus Maye\MayeMa00,NYJ,27,FS,16,16,2,0,0,0,11,2,0,1,0,0,2.0,88,52,36,4,2,
108,Patrick Peterson\PetePa00,ARI,30,LCB,16,16,3,7,0,7,8,,,,,,0.0,61,52,9,0,0,
109,Buster Skrine\SkriBu00,CHI,31,,12,3,0,0,0,0,3,1,0,0,0,0,0.0,66,52,14,1,0,
110,Jamel Dean\DeanJa00,TAM,24,db,14,7,1,32,1,32,7,,,,,,0.0,62,51,11,2,0,
111,DeShon Elliott\ElliDe02,BAL,23,FS,16,16,0,0,0,0,4,2,0,0,0,0,2.5,80,51,29,3,5,
112,Isaiah Oliver\OlivIs00,ATL,24,RCB,16,12,0,0,0,0,6,1,0,0,0,0,1.0,70,51,19,4,2,
113,Andrew Sendejo\SendAn00,CLE,33,FS,14,14,0,0,0,0,2,1,0,0,0,0,0.0,67,51,16,0,0,
114,Blessuan Austin\AustBl00,NYJ,24,rcb,11,10,0,0,0,0,4,1,0,0,0,0,0.0,63,50,13,3,1,
115,Ja'Whaun Bentley\BentJa00,NWE,24,LLB,13,13,0,0,0,0,2,,,,,,1.5,91,50,41,3,3,
116,Rasul Douglas\DougRa00,CAR,26,RCB,14,11,0,0,0,0,9,,,,,,0.0,62,50,12,1,0,
117,Jason Verrett\VerrJa00,SFO,29,LCB,13,13,2,0,0,0,7,,,,,,0.0,60,50,10,2,0,
118,Kyzir White\WhitKy00,LAC,24,llb,11,10,0,0,0,0,3,,,,,,0.5,77,50,27,4,3,
119,Krys Barnes\BarnKr00,GNB,22,rilb,13,10,,,,,,1,0,0,0,0,1.0,80,49,31,5,1,
120,Trevon Diggs\DiggTr00,DAL,22,RCB,12,11,3,43,0,33,14,1,0,0,0,0,1.0,58,49,9,1,0,
121,Malcolm Smith\SmitMa02,CLE,31,olb,15,4,1,2,0,2,2,1,0,0,0,0,1.0,72,49,23,3,1,
122,Michael Davis\DaviMi03,LAC,25,LCB,16,14,3,86,1,78,14,,,,,,0.0,64,48,16,2,0,
123,Tashaun Gipson\GipsTa00,CHI,30,SS,16,16,2,10,0,9,7,0,0,1,0,0,0.0,66,48,18,0,0,
124,Micah Hyde\HydeMi00,BUF,30,FS,15,15,1,33,0,33,5,0,1,0,0,0,0.0,70,48,22,1,0,
125,Tyrann Mathieu*+\MathTy00,KAN,28,SS,15,15,6,70,1,25,9,0,0,1,-2,0,0.0,62,48,14,3,2,
126,Donovan Wilson\WilsDo01,DAL,25,ss,14,10,2,5,0,5,3,3,0,2,0,0,3.5,71,48,23,2,3,
127,Xavier Woods\WoodXa00,DAL,25,FS,15,15,0,0,0,0,1,,,,,,0.0,72,48,24,2,1,
128,Ugo Amadi\AmadUg00,SEA,23,db,14,5,0,0,0,0,7,1,0,0,0,0,0.0,54,47,7,4,0,
129,Nevin Lawson\LawsNe00,LVR,29,rcb,14,9,0,0,0,0,4,2,0,1,0,0,1.0,61,47,14,1,1,
130,Julian Love\LoveJu00,NYG,22,db,16,6,1,13,0,13,3,,,,,,0.0,64,47,17,1,0,
131,Eric Murray\MurrEr00,HOU,26,FS,14,14,0,0,0,0,2,1,0,0,0,0,2.0,71,47,24,2,4,
132,Vince Williams\WillVi01,PIT,31,RILB,14,14,,,,,,0,0,2,0,0,3.0,70,47,23,14,4,
133,Terrell Edmunds\EdmuTe00,PIT,23,SS,15,12,2,11,0,7,8,,,,,,1.0,68,46,22,1,1,
134,Karl Joseph\JoseKa00,CLE,27,ss,14,8,1,49,0,49,4,0,1,2,0,0,0.0,67,46,21,2,0,
135,Christian Kirksey\KirkCh00,GNB,28,LILB,11,11,2,18,0,10,4,,,,,,2.0,77,46,31,2,2,
136,Harold Landry\LandHa00,TEN,24,ROLB,16,16,1,0,0,0,5,,,,,,5.5,69,46,23,10,16,
137,Marcus Peters\PeteMa00,BAL,27,RCB,14,14,4,17,0,12,9,4,1,2,-3,0,1.0,52,46,6,1,1,
138,D.J. Reed\ReedD.00,SEA,24,rcb,10,8,2,21,0,20,7,0,1,2,0,0,0.0,62,46,16,2,0,
139,Kyle Van Noy\VanNKy00,MIA,29,ROLB,14,13,0,0,0,0,6,2,0,2,28,0,6.0,69,46,23,10,10,
140,Damien Wilson\WilsDa02,KAN,27,MLB,13,13,0,0,0,0,1,1,0,0,0,0,0.0,73,46,27,3,0,
141,Jayon Brown\BrowJa06,TEN,25,rilb,10,10,1,0,0,0,8,2,0,0,0,0,1.0,76,45,31,5,2,
142,Cole Holcomb\HolcCo00,WAS,24,llb,11,10,1,0,0,0,1,,,,,,2.5,72,45,27,6,4,
143,Kevin King\KingKe01,GNB,25,RCB,11,11,0,0,0,0,5,1,0,1,48,0,0.0,57,45,12,0,1,
144,Devin McCourty\McCoDe99,NWE,33,FS,16,16,2,62,1,43,6,,,,,,0.0,68,45,23,2,0,
145,Amani Oruwariye\OruwAm00,DET,24,RCB,16,15,1,0,0,0,7,,,,,,0.0,53,45,8,1,0,
146,Jimmie Ward\WardJi01,SFO,29,FS,14,14,0,0,0,0,4,2,0,0,0,0,0.0,73,45,28,0,1,
147,Jarrod Wilson\WilsJa00,JAX,26,FS,12,12,1,48,0,48,3,,,,,,0.0,69,45,24,2,0,
148,James Bradberry *\BradJa00,NYG,27,LCB,15,15,3,19,0,19,18,2,0,1,0,0,0.0,54,44,10,0,0,
149,Joe Haden\HadeJo99,PIT,31,LCB,14,14,2,38,1,24,12,,,,,,0.0,52,44,8,2,0,
150,Erik Harris\HarrEr00,LVR,30,FS,14,12,0,0,0,0,5,1,0,0,0,0,0.0,61,44,17,1,1,
151,Anthony Hitchens\HitcAn00,KAN,28,LLB,14,14,0,0,0,0,1,,,,,,0.0,78,44,34,2,4,
152,Janoris Jenkins\JenkJa03,NOR,32,LCB,13,13,3,53,1,36,12,,,,,,0.0,55,44,11,2,0,
153,Micah Kiser\KiseMi00,LAR,25,lilb,9,9,0,0,0,0,3,1,0,0,0,0,0.0,77,44,33,0,1,
154,Tre'Davious White *\WhitTr01,BUF,25,LCB,14,14,3,28,0,28,11,1,0,2,-1,0,1.5,57,44,13,2,3,
155,Shaquil Barrett\BarrSh00,TAM,28,ROLB,15,15,0,0,0,0,3,2,0,0,0,0,8.0,57,43,14,11,16,1
156,Ronald Darby\DarbRo00,WAS,26,RCB,16,16,0,0,0,0,16,0,0,1,0,0,0.0,55,43,12,1,0,
157,Kyle Dugger\DuggKy00,NWE,24,db,14,7,,,,,,,,,,,0.0,64,43,21,1,0,
158,Rodney McLeod\McLeRo00,PHI,30,SS,13,13,1,21,0,21,7,0,0,2,50,1,0.0,66,43,23,3,0,
159,Steven Nelson\NelsSt01,PIT,27,RCB,15,15,2,3,0,3,9,0,0,1,0,0,0.0,48,43,5,2,0,
160,Haason Reddick\ReddHa00,ARI,26,LOLB,16,11,0,0,0,0,4,6,0,0,0,0,12.5,63,43,20,15,16,
161,Isaiah Simmons\SimmIs00,ARI,22,lb,16,7,1,12,0,12,2,1,0,1,0,0,2.0,54,43,11,4,3,
162,T.J. Watt *+\WattT.00,PIT,26,LOLB,15,15,1,0,0,0,7,2,0,0,0,0,15.0,53,43,10,23,41,
163,Quandre Diggs*\DiggQu00,SEA,27,FS,16,16,5,57,0,32,10,,,,,,0.0,64,42,22,0,0,
164,Jordan Fuller\FullJo01,LAR,22,SS,12,12,3,45,0,37,5,,,,,,0.0,60,42,18,0,0,
165,Mike Hilton\HiltMi01,PIT,26,db,12,6,3,5,0,8,7,1,0,2,22,0,3.0,51,42,9,8,5,
166,Brandon Jones\JoneBr06,MIA,22,fs,16,4,0,0,0,0,1,1,0,0,0,0,1.0,62,41,21,3,1,
167,Jayron Kearse\KearJa00,DET,26,ss,11,7,0,0,0,0,2,1,0,0,0,0,0.0,59,41,18,0,1,
168,Jeff Okudah\OkudJe00,DET,21,rcb,9,6,1,36,0,36,2,,,,,,0.0,47,41,6,4,0,
169,Sione Takitaki\TakiSi00,CLE,25,RLB,15,12,1,50,1,50,1,,,,,,1.0,67,41,26,2,2,
170,Jaire Alexander*\AlexJa00,GNB,23,LCB,15,15,1,-4,0,-4,13,1,0,0,0,0,1.0,51,40,11,2,1,1
171,Xavien Howard*+\HowaXa00,MIA,27,RCB,16,16,10,77,0,29,20,1,0,0,0,0,0.0,51,40,11,1,0,
172,Desmond King\KingDe01,2TM,26,,15,8,0,0,0,0,2,0,0,1,63,1,2.0,55,40,15,2,2,
173,Jourdan Lewis\LewiJo01,DAL,25,DB,15,13,0,0,0,0,2,0,0,1,0,0,2.0,59,40,19,7,1,
